DEBUG--->2021-08-22 20:14:48,211--->关闭文件
DEBUG--->2021-08-22 20:14:48,212--->执行结束
DEBUG--->2021-08-22 20:14:48,212--->执行结束
DEBUG--->2021-08-23 13:30:08,930--->开始执行
DEBUG--->2021-08-23 13:30:08,937--->执行用例中。。。。。。
DEBUG--->2021-08-23 13:30:15,222--->开始执行登录用例
DEBUG--->2021-08-23 13:30:15,222--->开始执行登录用例
DEBUG--->2021-08-23 13:30:16,800--->开始执行搜索用例
DEBUG--->2021-08-23 13:30:16,800--->开始执行搜索用例
DEBUG--->2021-08-23 13:30:20,177--->发送邮件
DEBUG--->2021-08-23 13:30:20,177--->发送邮件
DEBUG--->2021-08-23 13:30:21,880--->关闭文件
DEBUG--->2021-08-23 13:30:21,880--->关闭文件
DEBUG--->2021-08-23 13:30:21,881--->执行结束
DEBUG--->2021-08-23 13:30:21,881--->执行结束
DEBUG--->2021-08-23 21:08:35,232--->开始执行
DEBUG--->2021-08-23 21:08:35,238--->执行用例中。。。。。。
DEBUG--->2021-08-23 21:08:41,470--->开始执行登录用例
DEBUG--->2021-08-23 21:08:41,470--->开始执行登录用例
DEBUG--->2021-08-23 21:08:43,463--->开始执行搜索用例
